Cave_ID,Cave_String,Year,Date,start_time,end_time,Taken_from_first-last_bird,hours,number_persons,net_length,only_nest_check,Only_during_day,Notebook,Remarks
,MT09_RM05BT,2013,28/05/2013,21:00,01:30,NO,4.5,2,0,NO,NO,04.13-06.13,
,MT09_RM05BT,2013,30/05/2013,21:00,00:30,NO,3.5,2,0,NO,NO,01.12-05.13,
,MT24_Majjistral_Eggshell,2013,01/06/2013,21:00,23:00,YES,1.75,1,0,NO,NO,lightgreen,
,MT09_RM04B,2013,01/06/2013,23:00,23:30,NO,0.5,1,0,YES,NO,04.13-06.13,
,MT09_RM04B,2013,02/06/2013,23:00,23:00,YES,0,2,0,NO,NO,04.13-06.13,
,MT24_Majjistral_Eggshell,2013,02/06/2013,21:00,22:30,YES,1.25,1,0,NO,NO,lightgreen,
,MT24_Majjistral_Thomas,2013,02/06/2013,21:00,22:30,YES,1.25,1,0,NO,NO,lightgreen,
,MT24_Majjistral_Thomas,2013,04/06/2013,21:15,22:15,YES,0.9,1,0,NO,NO,darkgreen,
,MT24_Majjistral_Eggshell,2013,04/06/2013,21:15,22:15,YES,1,1,0,NO,NO,darkgreen,
,MT24_Majjistral_Eggshell,2013,05/06/2013,21:15,03:00,NO,5.75,1,0,NO,NO,darkgreen,
,MT24_Majjistral_Thomas,2013,05/06/2013,21:15,03:00,NO,5.6,1,0,NO,NO,darkgreen,
,MT24_Majjistral_Thomas,2013,06/06/2013,21:30,02:00,NO,4.3,1,0,NO,NO,darkgreen,
,MT24_Majjistral_Eggshell,2013,06/06/2013,21:30,02:00,NO,4.5,1,0,NO,NO,darkgreen,
,MT24_Majjistral_Eggshell,2013,07/06/2013,21:30,01:00,NO,3.5,1,0,NO,NO,darkgreen,
,MT24_Majjistral_Thomas,2013,07/06/2013,21:30,01:00,NO,3.4,1,0,NO,NO,darkgreen,
,MT24_Majjistral_NS2_NS3,2013,08/06/2013,19:10,19:15,YES,0,1,0,YES,YES,darkgreen,
,MT24_Majjistral_Thomas,2013,08/06/2013,19:00,19:00,YES,0,1,0,YES,YES,darkgreen,
,MT24_Majjistral_Subt,2013,08/06/2013,19:30,19:30,YES,0,1,0,YES,YES,darkgreen,
,MT24_Majjistral_Eggshell,2013,08/06/2013,21:30,02:15,NO,4.5,1,0,NO,NO,darkgreen,
,MT24_Majjistral_Thomas,2013,08/06/2013,21:30,02:15,NO,4.3,1,0,NO,NO,darkgreen,
,MT24_Majjistral_Eggshell,2013,09/06/2013,21:30,23:20,YES,1.83,1,0,NO,NO,darkgreen,
,MT24_Majjistral_Thomas,2013,09/06/2013,21:30,23:20,YES,1.75,1,0,NO,NO,darkgreen,
,MT24_Majjistral_Eggshell,2013,12/06/2013,21:30,23:35,YES,2.08,1,0,NO,NO,darkgreen,
,MT24_Majjistral_Thomas,2013,12/06/2013,21:30,23:35,YES,2,1,0,NO,NO,darkgreen,
,MT22_StPauls_MainCave,2013,16/06/2013,15:00,16:00,YES,1,3,0,YES,YES,01.12-05.13,
,MT09_RM05BT,2013,19/06/2013,23:00,00:30,YES,1.5,2,0,NO,NO,06.13-07.13,
,MT09_RM04A,2013,20/06/2013,00:00,01:00,YES,1,2,0,NO,NO,,
,MT09_RM04B,2013,20/06/2013,00:00,01:00,YES,1,2,0,NO,NO,,
,MT09_RM05GC_Central,2013,22/06/2013,23:50,01:00,YES,1,2,0,YES,NO,06.13-07.12,
,MT09_RM05GC,2013,22/06/2013,23:50,01:00,YES,1,2,0,YES,NO,06.13-07.13,
,MT09_RM04A,2013,25/06/2013,22:00,23:00,NO,1,5,0,NO,NO,06.13-07.13,
,MT09_RM04B,2013,25/06/2013,22:00,23:00,NO,1,5,0,NO,NO,06.13-07.13,
,MT09_RM05BT,2013,27/06/2013,21:30,21:45,YES,0.25,2,0,NO,NO,06.13-07.13,
,MT09_RM04C,2013,27/06/2013,22:15,23:30,YES,0.25,2,0,NO,NO,06.13-07.13,
,MT09_RM04D,2013,27/06/2013,23:40,23:50,YES,0.17,2,0,NO,NO,06.13-07.13,
,MT09_RM05GC,2013,27/06/2013,23:00,00:00,YES,1,2,0,NO,NO,06.13-07.13,
,MT09_RM05GC_Central,2013,27/06/2013,23:00,00:00,YES,1,2,0,NO,NO,06.13-07.13,
,MT09_RM04C,2013,08/07/2013,22:00,22:00,YES,0,3,0,NO,NO,01.12-05.13,
,MT09_RM03,2013,08/07/2013,23:10,00:20,YES,1.5,3,0,NO,NO,01.12-05.13,
,MT09_RM03_18to22,2013,08/07/2013,23:10,00:20,YES,1.5,3,0,NO,NO,01.12-05.13,
,MT09_RM03_South,2013,08/07/2013,23:10,00:20,YES,1.5,3,0,NO,NO,01.12-05.13,
,MT09_RM03_North,2013,08/07/2013,23:10,00:20,YES,1.5,3,0,NO,NO,01.12-05.13,
,MT24_Majjistral_Eggshell,2013,17/11/2013,18:00,18:45,YES,0.5,1,0,NO,NO,largeblack,
,MT24_Majjistral_Thomas,2013,17/11/2013,18:30,18:45,YES,0.25,1,0,NO,NO,largeblack,
,MT24_Majjistral_Eggshell,2014,04/01/2014,18:00,20:35,NO,2.08,1,0,NO,NO,black,
,MT24_Majjistral_Eggshell,2014,09/01/2014,18:00,19:45,NO,1.75,1,0,NO,NO,black,
,MT09_RM04A,2014,12/01/2014,18:00,18:00,YES,0,2,0,NO,NO,,
