Errors,site,Cave_string,ringingDate,month,Year,Hour,HourTime,type,ringnumber,Replacement,age,sex,winglength,weight,billlength,billheight,tarsus,ringer,cave,nest_or_direction,remarks,sexed_by,tags,feather_sample,broodpatch,Prospector
0,"L-Ahrax Point, Mellieha",MT09_RM04A,16/05/2012,5,2012,23,23:00:00,R,EE00741,0,6,,,380,,,,BLM Seabird Project,,,,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,16/05/2012,5,2012,22,22:00:00,R,EE00746,0,6,,,420,,,,BLM Seabird Project,,,"ring lost in bag, found and re-ringed",,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,16/05/2012,5,2012,23,23:00:00,R,EE01230,0,6,,,335,,,,BLM Seabird Project,,,,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,16/05/2012,5,2012,21,21:00:00,R,EE01421,0,6,,,,,,,BLM Seabird Project,,,,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,16/05/2012,5,2012,23,23:00:00,R,EE01673,0,6,,,360,,,,BLM Seabird Project,,,,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,17/05/2012,5,2012,0,00:00:00,R,EE00737,0,6,,,410,,,,BLM Seabird Project,,,female by call,call,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,17/05/2012,5,2012,4,04:00:00,R,EE00741,0,6,,,380,,,,BLM Seabird Project,,way out,on way out,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,17/05/2012,5,2012,2,02:00:00,R,EE00746,0,6,,,410,,,,BLM Seabird Project,,way out,on way out,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,17/05/2012,5,2012,23,23:00:00,R,EE00747,0,6,,,360,,,,BLM Seabird Project,,,,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,17/05/2012,5,2012,22,22:00:00,R,EE00750,0,6,,,390,,,,BLM Seabird Project,,,,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,17/05/2012,5,2012,21,21:00:00,R,EE01230,0,6,,,370,,,,BLM Seabird Project,,,,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,17/05/2012,5,2012,4,04:00:00,R,EE01230,0,6,,,420,,,,BLM Seabird Project,,way out,on way out,,,,,0
