Origninal_ring,Replacement_ring,DateReplacement,Pit_tag,Gps_tag,GLS_tag,F_ring_additional,Remarks,In case of gps tagged birds remarks refers to month when gps tag was on bird
EE02605,,,,,,,,
EE02606,,,,,,,,
EE02610,,,,,,,,
EE02611,,,,,,,,
EE02612,,,,,,,,
EE02614,,,,,,,,
EE02615,,,,,,,,
EE02616,,,,,,,,
EE02617,,,,,,,,
EE02618,,,,,,,,
EE02619,,,,,,,,
EE02620,,,,,,,,
EE02621,,,,,,,,
EE02622,,,,,,,,
EE02623,,,,,,,,
EE02624,,,,,,,,
EE02625,,,,,,,,
EE02626,,,,,,,,
EE02627,,,,,,,,
EE02628,,,,,,,,
EE02629,,,,,,,,
EE02630,,,,,,,,
EE02631,,,,,,,,
EE02632,,,,Pinpoint49097,C4387,FF04831,Apr-19,
EE02633,,,,,,,,
EE02634,,,,,,,,
EE02635,,,,,,,,
EE02636,,,,,,,,
EE02637,,,,,,,,
EE02638,,,,,,,,
EE02639,,,,,,,,
EE02640,,,,,,,,
EE02641,,,,,,,,
EE02642,,,,,,,,
EE02643,,,,,,,,
EE02644,,,,,,,,
EE02645,,,,,,,,
EE02646,,,,,,,,
EE02647,,,,,,,,
EE02648,,,,,,,,
EE02649,,,,,,,,
EE02650,,,,,,,,
EE02701,,,,,,,,
EE02702,,,,,,,,
EE02703,,,,,,,,
EE02704,,,,,,,,
EE02705,,,,,,,,
EE02706,,,,,,,,
EE02707,,,,,,,,
EE02708,,,,,,,,
EE02709,,,,,,,,
EE02710,,,,,,,,
EE02711,,,,,,,,
EE02712,,,,,,,,
EE02713,,,,,,,,
EE02714,,,,,,,,
EE02715,,,,,,,,
EE02716,,,,,,,,
EE02717,,,,,,,,
EE02718,,,,,,,,
EE02719,,,,,,,,
EE01168,,,,,,,,
EE02720,,,,,,,,
EE02721,,,,,,,,
EE02722,,,,,,,,
EE02723,,,,,,,,
EE02724,,,,,,,,
EE02725,,,,,,,,
EE02726,,,,,,,,
EE02730,,,,Pinpoint49104,C4406,FF03219,Apr-19,
EE02731,,,,,,,,
EE02732,,,,,,,,
EE02733,,,,,,,,
EE02734,,,,,,,,
EE02735,,,,,,,,
EE02736,,,,,,,,
EE02738,,,,,,,,
EE02739,,,,,,,,
EE02740,,,,,,,,
EE02741,,,,,,,,
EE02742,,,,,,,,
EE02743,,,,,,,,
EE02744,,,,,,,,
EE02745,,,,,,,,
EE02746,,,,,,,,
EE03051,,,,,,,,
EE03052,,,,,,,,
EE03053,,,,,,,,
EE03054,,,,,C4379,FF03204,,
EE03055,,,,,,,,
EE03056,,,,,,,,
EE03057,,,,,,,,
EE03058,,,,,,,,
EE01668,,,,,,,,
EE02747,,,,,,,,
EE02748,,,,,,,,
EE02749,,,,,,,,
EE02750,,,,,,,,
EE03001,,,,,,,,
EE03002,,,,,,,,
EE03003,,,,,,,,
EE03005,,,,,,,,
EE03006,,,,,,,,
EE03007,,,,,,,,
EE03008,,,,,,,,
EE03059,,,,,,,,
EE03060,,,,,,,,
EE03061,,,,,,,,
EE03009,,,,,,,,
EE03010,,,,,,,,
EE03011,,,,,,,,
EE03004,,,,Pathtrack40202,C4383,FF03203,May-19,
EE03012,,,,,,,,
EE03013,,,,,,,,
